Country,Topic,Category,Year,Unit,Value,Source
Argentina,Demographic data,Population (mn),2018,Number of people (million),0,World Bank
Argentina,Demographic data,Population (mn),2019,Number of people (million),0,World Bank
Argentina,Demographic data,Population (mn),2020,Number of people (million),0,World Bank
Brazil,Demographic data,Population (mn),2018,Number of people (million),0,World Bank
Brazil,Demographic data,Population (mn),2019,Number of people (million),0,World Bank
Brazil,Demographic data,Population (mn),2020,Number of people (million),0,World Bank
Mexico,Demographic data,Population (mn),2018,Number of people (million),0,World Bank
Mexico,Demographic data,Population (mn),2019,Number of people (million),0,World Bank
Mexico,Demographic data,Population (mn),2020,Number of people (million),0,World Bank
